id,ms,x,y,z
187,5076,4.75,-8.18,9.83
188,5096,-9.5,-16.92,2.76
189,5113,13.85,4.89,10.9
190,5133,-0.79,3.41,4.62
191,5150,0.77,-13.91,-6.44
192,5170,7.32,5.8,-0.04
193,5187,-4.12,2.57,11.42
194,5207,17.57,-1.32,-8.83
195,5228,-2.07,-0.5,8.85
196,5244,-4.18,2.13,20.52
197,5265,2.89,-1.92,-10.06
198,5285,-4.54,4.54,18.7
199,5306,-12.61,-2.61,20.77
200,5325,-7.64,-6.17,13.09
201,5342,9.16,3.26,-9.41
202,5362,8.41,-1.69,-17.82
203,5383,-2.59,-2.89,12.59
204,5399,0.19,-3.39,7.47
205,5416,0.73,-3.41,9.06
206,5432,0.92,-3.45,9.18
207,5452,0.92,-3.12,8.58
208,5469,1.44,-2.89,9.23
209,5485,1.25,-2.45,8.87
210,5506,1.13,-1.97,8.95
211,5522,1.09,-1.21,9.12
212,5539,1.17,-0.67,9.1
213,5559,0.34,-1.49,11.69
214,5576,-0.23,-0.21,9.33
215,5596,-0.4,-0.33,9.79
216,5617,-0.44,-0.56,9.71
217,5633,-0.79,-1.05,9.22
218,5654,-1.02,-1.44,9.64
219,5670,-1.07,-1.53,9.46
220,5690,-0.77,-2.11,9.58
221,5706,-0.61,-2.07,8.99
222,5727,-0.56,-2.2,9.56
223,5747,-0.42,-1.97,9.5
224,5764,-0.19,-1.86,9.04
225,5784,-0.25,-1.59,9.43
226,5801,-0.19,-1.3,9.58
227,5821,-0.08,-0.96,9.62
228,5838,-0.04,-0.65,9.79
229,5858,1.07,-0.86,8.64
230,5874,1.0,-0.29,9.39
231,5891,1.15,-0.13,9.37
232,5911,1.11,-0.11,9.18
233,5928,1.17,-0.31,9.2
234,5944,0.57,0.0,9.39
235,5965,-0.11,-0.84,9.92
236,5981,-0.21,-1.34,9.6
237,6002,-0.17,-1.63,9.48
238,6018,-0.17,-1.57,9.37
239,6039,-0.17,-1.15,9.5
240,6058,-0.19,-0.92,9.66
241,6075,-0.15,-0.65,9.54
242,6095,-0.23,-0.44,9.58
243,6112,-0.42,-0.23,9.46
244,6132,-0.31,-0.19,9.62
245,6149,-0.27,0.11,9.62
246,6165,-0.31,0.71,9.22
247,6186,-0.33,0.88,9.37
248,6202,-0.33,0.73,9.37
249,6218,-0.36,0.36,9.62
250,6239,-0.31,-0.19,9.35
251,6259,-0.11,-0.57,9.18
252,6276,-0.29,-0.54,9.18
253,6296,-0.48,-0.27,9.43
254,6313,0.0,0.11,9.56
255,6329,-0.17,0.25,9.56
256,6350,-0.13,0.25,10.06
257,6366,-0.21,0.23,9.5
258,6383,-0.1,0.23,9.58
259,6403,-0.08,0.11,9.54
260,6420,-0.04,0.1,9.54
261,6435,-0.02,0.1,9.87
262,6452,0.02,0.11,9.54
263,6468,0.06,0.0,9.56
264,6488,0.1,-0.06,10.02
265,6505,0.15,0.0,9.39
266,6521,0.29,0.08,9.58
267,6538,0.77,-0.02,9.02
268,6554,0.79,0.31,9.0
269,6571,0.19,0.0,9.79
270,6591,0.15,0.04,9.66
271,6608,0.29,-0.02,9.52
272,6624,0.1,0.02,9.67
273,6640,0.04,0.1,9.31
274,6657,-0.08,0.27,9.64
275,6677,-0.06,0.31,9.81
276,6694,0.0,0.36,9.33
277,6710,0.0,0.63,9.43
278,6727,-0.08,0.88,9.48
279,6743,-0.06,1.0,9.46
280,6764,-0.08,1.09,9.9
281,6780,0.23,0.9,9.66
282,6796,-0.02,0.84,9.52
283,6812,-0.02,0.69,9.56
284,6832,-0.02,0.54,9.67
285,6849,-0.23,0.44,9.64
286,6865,-0.17,0.44,9.45
287,6886,-0.11,0.54,9.75
288,6902,-0.17,0.82,9.33
289,6919,-0.17,0.67,9.92
290,6939,-0.21,0.75,9.41
291,6956,-0.19,-0.38,9.58
292,6976,-0.13,-0.84,9.77
293,6993,0.0,2.59,9.41
294,7009,-0.02,2.66,9.71
295,7025,0.33,0.46,9.69
296,7042,0.27,0.46,9.27
297,7062,-0.21,0.84,9.43
298,7079,-0.15,0.17,9.62
