id,ms,x,y,z
799,15709,-0.02,0.31,9.62
800,15725,0.15,0.11,9.58
801,15742,0.17,-0.04,9.75
802,15758,0.27,-0.06,9.69
803,15775,0.17,0.04,9.56
804,15794,0.25,-0.1,9.58
805,15811,0.17,-0.08,9.62
806,15827,0.42,-0.34,9.54
807,15848,0.4,-0.44,9.98
808,15864,0.11,-0.13,9.45
809,15880,0.48,-0.19,9.81
810,15901,0.13,-0.08,10.06
811,15917,0.38,-0.1,9.52
812,15934,0.17,-0.11,9.79
813,15954,0.31,-0.1,9.45
814,15971,0.38,-0.34,9.23
815,15987,0.04,-0.17,9.71
816,16008,0.21,-0.1,9.56
817,16024,0.29,-0.11,9.62
818,16041,0.17,-0.21,9.67
819,16061,0.17,-0.21,9.16
820,16077,0.0,-0.06,9.62
821,16094,0.29,-0.27,9.66
822,16114,0.23,-0.57,9.9
823,16131,0.11,0.15,9.35
824,16147,0.19,-0.13,9.52
825,16163,0.11,0.08,9.54
826,16179,0.23,0.21,9.75
827,16196,0.15,0.63,9.94
828,16212,0.04,0.08,9.87
829,16228,0.11,-0.44,9.79
830,16249,0.11,-0.92,9.71
831,16265,0.31,-1.3,9.18
832,16282,0.42,-1.23,9.46
833,16302,0.31,-1.32,9.77
834,16319,0.1,-1.19,9.58
835,16335,0.15,-0.79,9.75
836,16356,0.38,-0.34,9.58
837,16372,0.08,-0.25,9.83
838,16389,0.04,-0.08,9.54
839,16409,0.17,-0.04,9.64
840,16426,0.36,-0.13,9.98
841,16442,0.1,-0.08,9.25
842,16463,-0.1,-0.04,9.64
843,16479,0.29,-0.19,9.48
844,16495,0.27,-0.23,9.6
845,16516,0.0,-0.31,9.58
846,16531,0.11,-0.23,9.48
847,16548,0.29,-0.46,9.52
848,16568,0.08,-0.31,9.81
849,16585,0.11,-0.23,9.67
850,16601,0.29,-0.25,9.89
851,16622,0.15,-0.08,10.12
852,16638,0.29,0.06,9.56
853,16655,0.06,0.27,9.69
854,16671,0.27,0.11,9.33
855,16687,0.17,0.06,9.67
856,16708,0.23,-0.08,9.58
857,16724,0.29,-0.15,8.99
858,16741,0.27,-0.31,9.46
859,16757,0.19,-0.23,9.58
860,16778,0.29,-0.1,9.6
861,16794,0.19,-0.02,8.97
862,16811,0.15,-0.04,9.52
863,16831,0.25,-0.1,9.85
864,16848,0.29,0.0,9.6
865,16864,0.27,0.02,9.94
866,16880,0.38,0.0,9.22
867,16897,0.25,-0.11,9.46
868,16916,0.02,-0.04,9.58
869,16933,0.17,0.1,9.29
870,16949,0.15,0.11,9.52
871,16966,0.13,0.04,9.67
872,16982,-0.02,-0.02,9.66
873,16999,0.11,0.02,9.45
874,17019,0.27,-0.04,9.58
875,17035,0.27,0.29,9.45
876,17052,0.31,0.13,9.6
877,17068,0.17,0.27,9.62
878,17085,0.29,0.17,9.22
879,17101,0.08,0.23,9.58
880,17118,0.13,0.06,9.66
881,17134,0.02,0.13,9.81
882,17150,0.06,0.19,9.64
883,17167,0.06,1.76,9.73
884,17187,0.04,1.8,10.02
885,17204,0.06,-3.01,9.5
886,17220,1.0,-1.8,9.04
887,17237,0.67,0.25,9.22
888,17257,0.0,-0.82,10.02
889,17274,-0.27,-0.25,9.75
890,17289,0.29,0.65,9.37
891,17310,0.36,0.48,9.71
892,17326,0.56,-0.11,9.43
893,17343,0.08,-0.15,9.73
894,17359,0.02,0.56,9.29
895,17375,0.19,0.73,9.62
896,17392,0.34,0.31,9.71
897,17408,0.25,0.0,9.54
898,17425,0.23,0.1,9.73
899,17445,0.13,0.34,9.73
900,17462,0.1,0.19,9.75
901,17478,0.1,0.29,9.64
902,17494,0.23,0.52,9.35
903,17511,0.02,0.46,9.79
904,17527,0.13,0.27,10.25
905,17544,0.19,0.04,9.5
906,17560,0.23,0.0,9.54
907,17581,0.1,-0.17,9.66
908,17597,0.19,-0.04,9.25
909,17614,0.15,-0.02,9.56
910,17630,0.17,0.17,9.6
911,17646,0.25,0.11,9.23
912,17666,0.36,-0.08,9.41
913,17682,0.23,-0.06,9.62
914,17699,0.13,-0.13,9.81
915,17719,0.17,-0.25,9.94
916,17736,0.27,0.0,9.48
917,17752,0.1,0.06,9.62
918,17769,0.13,0.15,9.87
919,17785,0.1,0.08,9.73
920,17801,0.0,-0.04,9.75
921,17818,0.34,-0.04,9.06
922,17838,0.06,-0.04,9.87
923,17855,0.23,-0.13,9.71
924,17871,0.27,-0.23,9.6
925,17892,0.13,-0.15,9.58
926,17908,-0.04,-0.04,9.83
927,17925,0.1,0.17,9.83
928,17941,0.1,0.1,9.56
929,17962,0.19,-0.15,9.75
930,17978,0.36,-0.23,9.73
931,17995,0.23,-0.15,9.62
932,18015,0.34,-0.11,9.66
933,18030,0.17,-0.06,9.54
934,18047,0.27,-0.13,9.39
935,18063,0.13,0.02,9.46
936,18084,0.13,-0.06,9.73
937,18100,0.21,0.02,9.37
938,18117,0.33,-0.1,9.66
939,18133,0.15,0.0,9.5
940,18150,0.25,-0.02,9.94
941,18170,0.19,-0.1,9.77
942,18187,0.21,-0.13,9.69
943,18203,0.25,-0.04,9.54
944,18223,0.33,-0.1,9.29
945,18240,0.11,-0.02,9.69
946,18256,0.25,-0.04,9.45
947,18277,0.17,-0.04,9.6
948,18293,0.15,-0.02,9.98
949,18310,0.21,-0.1,9.75
950,18326,0.15,0.02,9.43
951,18347,0.17,-0.1,9.73
952,18363,0.25,-0.06,9.9
953,18380,0.04,-0.04,9.66
954,18399,0.17,-0.02,9.5
955,18415,0.13,0.04,9.67
956,18432,0.19,0.1,9.25
957,18448,0.15,0.1,9.81
958,18465,0.19,0.1,9.85
959,18481,0.5,-0.02,9.25
960,18502,0.21,-0.15,9.37
961,18518,0.38,-0.1,9.83
962,18535,0.08,-0.04,9.67
963,18551,0.23,-0.04,9.87
964,18572,0.11,0.04,9.69
965,18588,0.27,0.06,9.5
966,18604,0.11,0.1,9.56
967,18621,0.08,0.08,9.58
968,18637,0.0,0.04,9.92
969,18654,0.38,-0.02,9.87
970,18670,0.13,0.06,9.45
971,18687,0.17,0.06,9.58
972,18703,0.27,0.04,9.33
973,18719,0.4,0.0,9.58
974,18736,0.08,0.0,9.81
975,18752,0.1,0.04,9.66
976,18772,-0.02,0.11,9.25
977,18788,-0.02,0.17,9.39
978,18805,0.1,0.08,9.58
979,18821,0.19,0.08,9.75
980,18842,0.4,-0.06,9.73
981,18858,0.29,0.1,9.35
982,18874,0.13,0.04,9.64
983,18891,0.29,0.13,9.25
984,18907,0.15,0.15,9.48
985,18924,0.19,0.06,9.1
986,18940,0.13,0.0,9.77
987,18957,0.04,0.11,9.96
988,18973,0.25,0.04,9.6
989,18993,4.31,-4.77,15.67
990,19010,8.35,1.0,-1.63
991,19026,-5.82,1.13,12.49
992,19047,-5.71,1.4,10.59
993,19063,-0.79,1.25,8.43
994,19084,-0.02,1.19,7.95
995,19100,-0.15,0.88,9.2
996,19117,-0.06,0.56,9.45
997,19133,1.03,0.23,8.37
998,19149,1.42,0.29,8.54
999,19169,1.36,-0.06,8.93
1000,19186,1.51,-0.52,8.74
1001,19202,1.19,-0.88,9.64
1002,19223,1.23,-0.94,9.1
1003,19239,1.05,-0.71,9.16
1004,19260,0.36,-0.5,10.42
1005,19276,0.08,-0.21,9.66
1006,19292,0.0,0.25,9.04
1007,19309,-0.27,0.57,9.71
1008,19329,-0.86,0.52,8.49
1009,19346,-1.3,0.75,8.85
1010,19362,-1.38,0.75,9.54
1011,19383,-0.94,0.86,9.6
1012,19399,-0.4,0.73,9.69
1013,19416,-0.23,0.48,9.35
1014,19436,-0.52,0.15,9.75
1015,19452,-0.06,-0.11,9.94
1016,19473,-0.02,-0.21,9.35
1017,19489,0.25,0.06,10.1
1018,19506,1.11,0.19,9.66
1019,19521,1.15,0.19,8.99
1020,19538,1.23,0.15,9.25
1021,19554,1.13,0.0,9.48
1022,19571,0.8,0.08,9.64
1023,19591,-0.25,-0.63,9.54
1024,19608,-0.04,-0.54,9.14
1025,19628,-0.02,-0.34,9.6
1026,19645,-0.13,0.15,9.45
1027,19665,-0.23,0.44,9.37
1028,19681,-0.33,0.75,9.79
1029,19698,-0.19,0.79,9.31
1030,19718,-0.27,0.8,9.6
1031,19735,-0.33,0.61,9.33
1032,19751,-0.52,0.59,9.46
1033,19772,-0.42,0.23,9.85
1034,19788,-0.33,0.17,9.9
1035,19805,-0.31,0.19,9.71
1036,19821,-0.08,0.1,9.23
1037,19842,-0.27,0.04,9.81
1038,19858,-0.23,0.06,9.67
1039,19875,-0.15,0.19,9.6
1040,19894,-0.13,0.34,9.23
1041,19910,-0.02,0.36,9.66
1042,19927,0.1,0.38,9.62
1043,19943,0.06,0.44,9.6
1044,19960,0.57,0.67,9.16
1045,19976,0.86,0.46,9.23
1046,19993,1.07,0.31,9.45
1047,20009,1.03,0.15,9.06
1048,20025,0.5,0.11,9.6
1049,20046,0.06,-0.31,9.94
1050,20062,0.06,-0.42,9.69
1051,20083,-0.02,-0.19,9.62
1052,20099,-0.11,0.0,9.71
1053,20120,-0.1,0.25,10.17
1054,20136,-0.02,0.65,9.33
1055,20153,-0.04,0.67,9.04
1056,20173,-0.11,0.71,9.71
1057,20190,-0.13,0.69,9.62
1058,20206,-0.11,0.69,9.27
1059,20223,-0.15,0.54,9.58
1060,20243,-0.21,0.5,9.46
1061,20260,-0.02,0.4,9.37
1062,20275,-0.15,1.49,9.92
1063,20295,-0.15,1.57,9.12
1064,20312,-0.19,-1.34,9.62
1065,20332,0.04,-0.61,9.64
1066,20349,0.54,-0.59,9.45
1067,20365,0.92,-1.44,9.02
1068,20382,0.61,0.04,9.77
1069,20398,0.77,1.03,9.31
1070,20415,0.31,0.96,9.52
1071,20435,-0.06,0.06,9.94
1072,20452,-0.15,1.28,10.02
1073,20468,0.27,1.71,9.46
1074,20484,0.42,0.84,9.12
1075,20505,0.21,0.34,9.56
1076,20521,-0.21,0.77,10.0
1077,20538,0.23,1.13,9.52
1078,20554,0.73,1.46,8.95
1079,20575,-0.06,2.3,9.9
1080,20591,0.15,2.32,9.64
1081,20608,0.02,1.46,9.62
1082,20624,-0.08,0.94,9.69
1083,20640,0.36,0.5,9.48
1084,20656,0.31,0.42,9.14
1085,20672,0.1,0.61,9.5
1086,20689,0.27,0.77,9.22
1087,20705,0.31,0.9,9.27
1088,20722,0.02,1.0,9.83
1089,20738,0.11,1.03,9.73
1090,20754,0.13,0.71,9.62
1091,20775,0.17,0.88,9.39
1092,20791,0.23,0.75,9.58
1093,20808,0.17,0.54,9.45
1094,20824,0.25,0.63,9.33
1095,20841,0.29,0.94,9.56
1096,20857,0.19,1.02,9.56
1097,20874,0.13,0.59,9.75
1098,20890,0.23,0.46,9.56
1099,20906,0.21,0.71,9.14
1100,20923,0.23,0.54,9.6
1101,20939,0.19,0.61,9.35
1102,20956,0.04,0.5,9.71
1103,20972,0.17,0.67,9.62
1104,20993,-0.02,0.8,10.04
1105,21009,0.17,1.02,9.87
1106,21024,0.29,0.23,9.85
1107,21041,-0.1,0.42,9.87
1108,21057,0.21,0.04,9.35
1109,21078,-6.8,-2.11,14.6
1110,21098,-6.71,2.22,10.71
1111,21115,-2.87,1.67,11.0
1112,21135,-0.25,1.17,9.83
1113,21152,6.03,1.03,6.8
1114,21168,3.01,0.38,7.53
1115,21185,-2.09,2.45,10.63
1116,21205,-1.9,1.02,11.13
1117,21222,1.74,0.69,8.87
1118,21238,0.96,-0.15,9.41
1119,21255,1.19,0.06,9.5
1120,21271,0.8,0.4,9.31
1121,21291,-1.4,0.4,10.25
1122,21308,0.59,0.8,9.41
1123,21324,0.96,0.84,8.99
1124,21341,-0.69,0.61,9.94
1125,21357,1.0,0.82,8.76
1126,21378,0.1,0.75,9.67
1127,21393,0.33,0.46,9.69
1128,21410,0.65,0.33,9.37
1129,21426,0.11,0.33,9.62
1130,21442,0.31,0.4,9.48
1131,21459,0.42,0.31,9.67
1132,21475,0.27,0.36,9.14
1133,21492,0.34,0.15,9.5
1134,21508,0.17,0.4,9.46
1135,21525,0.13,0.69,9.41
1136,21541,0.25,0.59,9.6
1137,21557,0.29,0.77,9.92
1138,21574,0.25,0.44,9.67
1139,21590,0.27,0.5,9.52
1140,21607,0.25,0.27,9.67
1141,21623,0.17,0.42,9.62
1142,21644,0.17,0.36,9.29
1143,21660,0.15,0.42,9.54
1144,21676,0.23,0.54,9.54
1145,21693,0.17,0.67,9.58
1146,21709,0.33,0.56,9.6
1147,21726,0.38,0.25,9.71
1148,21742,0.27,0.4,9.83
1149,21759,0.17,0.44,9.45
1150,21774,0.04,0.69,9.85
1151,21790,0.1,0.69,10.06
1152,21807,0.13,0.54,9.79
1153,21823,0.23,0.5,9.39
1154,21844,0.15,0.56,9.54
1155,21860,0.11,0.27,9.56
1156,21877,0.29,0.46,9.79
1157,21893,0.21,0.56,9.66
1158,21910,0.31,0.57,9.23
1159,21926,0.29,0.75,9.37
1160,21942,0.19,0.48,9.52
1161,21959,0.4,0.57,8.91
1162,21975,0.11,0.52,9.92
1163,21992,0.17,0.57,9.46
1164,22008,0.1,0.59,9.6
1165,22029,0.27,0.63,10.02
1166,22045,-0.06,0.86,9.5
1167,22062,0.15,0.69,9.81
1168,22078,0.33,0.52,9.83
1169,22094,0.23,0.86,9.69
1170,22111,0.15,0.88,9.27
1171,22127,0.04,0.67,9.73
1172,22143,0.56,0.65,9.12
1173,22159,0.31,0.67,9.52
1174,22176,0.46,0.38,9.06
1175,22192,0.42,0.52,9.16
1176,22208,0.23,0.56,9.58
1177,22229,0.15,0.4,9.75
1178,22245,0.08,0.48,9.56
1179,22262,0.23,0.56,9.6
1180,22278,0.25,0.59,9.46
1181,22295,0.42,0.71,9.31
1182,22311,0.25,0.65,9.25
1183,22327,0.1,0.52,9.71
1184,22344,0.36,0.44,9.06
1185,22360,0.25,0.31,9.6
1186,22377,0.25,0.42,9.62
1187,22393,0.42,0.34,9.81
1188,22410,0.25,0.57,9.52
1189,22426,0.21,0.52,9.58
1190,22442,0.13,0.63,9.56
1191,22459,0.21,0.65,9.56
1192,22475,0.21,0.52,9.43
1193,22496,0.31,0.54,9.31
1194,22512,0.38,0.48,9.41
1195,22528,0.33,0.52,9.64
1196,22544,0.27,0.52,9.69
1197,22561,0.46,0.29,9.64
1198,22577,0.1,0.38,9.96
1199,22593,0.23,0.59,9.58
1200,22610,0.25,0.69,9.2
1201,22626,0.15,0.34,9.75
1202,22643,0.23,0.27,9.6
1203,22659,0.27,0.4,9.69
1204,22676,0.29,0.23,9.66
1205,22692,0.23,0.23,9.45
1206,22708,0.29,0.38,9.39
1207,22725,0.42,0.36,9.41
1208,22741,0.13,0.44,9.89
1209,22762,0.19,0.52,9.43
1210,22778,0.06,0.71,8.99
1211,22795,0.42,0.44,9.39
1212,22811,0.19,0.4,9.56
1213,22827,0.31,0.44,9.14
1214,22844,0.1,0.34,9.46
1215,22860,0.34,0.34,9.64
1216,22877,0.29,0.42,9.54
1217,22892,0.19,0.48,9.69
1218,22909,0.54,0.46,9.45
1219,22925,0.17,0.5,9.67
1220,22942,0.13,0.59,9.56
1221,22958,0.04,0.56,9.48
1222,22974,0.19,0.48,9.56
1223,22991,0.31,0.5,9.41
1224,23007,0.15,0.36,9.6
1225,23028,0.19,0.36,9.87
1226,23044,0.13,0.38,9.71
1227,23061,0.04,0.59,9.64
1228,23077,0.19,0.46,9.6
1229,23093,0.27,0.42,9.35
1230,23110,0.29,0.4,9.35
1231,23126,0.33,0.42,9.37
1232,23143,0.27,0.36,9.58
1233,23159,0.5,0.4,9.18
1234,23176,0.29,0.52,9.52
1235,23192,0.19,0.46,9.6
1236,23208,0.33,0.4,9.48
1237,23225,0.29,0.57,9.66
1238,23241,0.19,0.4,9.45
1239,23258,0.44,0.46,9.54
1240,23273,0.17,0.56,9.81
1241,23294,0.04,0.56,9.58
1242,23310,0.33,0.48,9.79
1243,23326,0.33,0.65,9.14
1244,23343,0.13,0.54,9.45
1245,23359,0.23,0.54,9.54
1246,23376,0.21,0.44,9.54
1247,23392,0.17,0.46,9.71
1248,23409,0.13,0.48,9.23
1249,23425,0.17,0.52,9.35
1250,23442,0.27,0.57,9.52
1251,23458,0.19,0.54,9.81
1252,23474,0.25,0.59,9.5
1253,23491,0.17,0.69,9.18
1254,23507,0.15,0.36,9.58
1255,23528,4.14,-4.81,-17.34
1256,23548,-6.0,-0.82,10.71
1257,23565,-2.57,0.31,9.89
1258,23585,-0.92,1.28,10.15
1259,23602,3.3,0.38,8.58
1260,23618,3.91,0.98,7.57
1261,23638,-1.59,-0.08,10.58
1262,23654,-2.22,1.11,10.59
1263,23671,2.16,0.71,8.58
1264,23691,1.15,-0.34,9.69
1265,23707,-0.11,-0.21,9.92
1266,23728,-0.42,0.57,9.69
1267,23744,1.19,0.65,9.43
1268,23761,-0.23,0.57,10.06
1269,23777,0.02,0.65,9.64
1270,23794,0.38,0.75,9.39
1271,23810,0.04,0.5,9.83
1272,23831,0.29,0.5,9.23
1273,23847,0.19,0.61,9.54
1274,23863,0.04,0.36,9.52
1275,23880,0.38,0.33,9.31
1276,23896,0.33,0.42,9.56
1277,23913,0.25,0.19,9.56
1278,23929,0.11,0.56,9.62
1279,23946,0.27,0.34,9.62
1280,23962,0.33,0.31,9.6
1281,23979,0.15,0.42,9.85
1282,23995,0.17,0.65,9.77
1283,24010,0.19,0.69,9.56
1284,24027,0.08,0.59,9.96
1285,24043,0.38,0.56,9.23
1286,24060,0.19,0.34,9.66
1287,24076,0.15,0.44,9.27
1288,24097,0.48,0.36,9.6
1289,24113,0.19,0.4,9.6
1290,24129,0.23,0.46,9.5
1291,24146,0.19,0.54,9.62
1292,24162,0.17,0.42,9.98
1293,24179,0.11,0.48,9.5
1294,24195,0.27,0.54,9.6
1295,24212,0.44,0.54,9.62
1296,24228,0.23,0.44,9.69
1297,24244,0.08,0.34,9.83
1298,24261,0.36,0.56,9.77
1299,24277,0.25,0.48,9.56
1300,24294,0.5,0.23,9.22
1301,24310,0.31,0.42,9.52
1302,24327,0.17,0.48,9.66
1303,24343,0.11,0.4,9.92
1304,24364,0.33,0.46,9.75
1305,24380,0.15,0.54,9.87
1306,24395,0.1,0.48,9.71
1307,24412,0.29,0.56,9.48
1308,24428,0.08,0.4,9.75
1309,24445,0.27,0.59,9.6
1310,24461,0.13,0.54,9.06
1311,24478,0.13,0.56,9.66
1312,24494,0.19,0.56,9.58
1313,24510,0.13,0.46,9.9
1314,24527,0.33,0.48,9.5
1315,24543,0.17,0.5,9.69
1316,24560,0.06,0.46,9.73
1317,24576,0.19,0.48,9.29
1318,24593,0.29,0.36,9.27
1319,24609,0.19,0.44,9.6
1320,24629,0.33,0.59,9.08
1321,24646,0.08,0.54,9.67
1322,24662,0.21,0.46,9.62
1323,24679,0.13,0.63,9.6
1324,24695,0.17,0.44,9.6
1325,24712,0.19,0.42,9.48
1326,24728,0.21,0.57,9.37
1327,24744,0.21,0.52,9.56
1328,24760,0.23,0.4,9.77
1329,24776,0.27,0.34,9.54
1330,24793,0.17,0.42,9.73
1331,24809,0.1,0.44,9.45
1332,24826,0.19,0.4,9.6
1333,24842,0.27,0.65,9.14
1334,24859,0.08,0.48,9.73
1335,24875,0.27,0.48,9.02
1336,24895,0.0,0.57,9.83
1337,24912,0.31,0.27,9.6
1338,24928,0.21,0.33,9.58
1339,24945,0.13,0.46,9.71
1340,24961,0.36,0.25,10.1
1341,24978,0.11,0.36,9.77
1342,24994,0.15,0.57,9.56
1343,25010,0.17,0.46,9.6
1344,25027,0.29,0.79,9.58
1345,25043,0.27,0.4,9.37
1346,25064,0.34,-0.21,9.75
1347,25080,0.31,0.04,9.58
1348,25097,0.04,0.27,9.66
1349,25113,-0.06,0.71,10.04
1350,25130,0.19,0.4,9.43
1351,25145,0.21,0.25,9.43
1352,25165,0.27,0.06,9.79
1353,25182,0.06,0.13,10.08
1354,25198,0.1,0.31,9.37
1355,25215,0.17,0.48,9.27
1356,25231,0.19,0.31,9.69
1357,25248,0.13,0.06,10.0
1358,25264,0.21,0.33,9.52
1359,25281,0.1,0.25,9.54
1360,25301,0.19,0.27,9.54
1361,25317,0.42,0.23,9.48
1362,25334,0.1,0.34,9.64
1363,25350,0.17,0.29,9.54
1364,25367,0.25,0.44,9.27
1365,25383,0.15,0.38,9.69
1366,25400,0.15,0.36,9.58
1367,25416,0.21,0.44,9.52
1368,25432,0.36,0.34,9.43
1369,25449,0.17,0.52,9.58
1370,25465,0.23,0.34,9.46
1371,25482,0.02,0.46,9.6
1372,25498,0.06,0.46,9.81
1373,25514,0.23,0.46,9.56
1374,25530,0.23,0.31,9.92
1375,25546,0.11,0.52,9.25
1376,25567,0.21,0.46,9.56
1377,25583,0.34,0.34,9.54
1378,25600,0.33,0.52,9.41
1379,25616,0.17,0.65,9.5
1380,25633,0.19,0.31,9.45
1381,25649,-0.02,0.63,9.92
1382,25666,0.06,0.36,9.79
1383,25682,0.11,0.34,9.96
1384,25698,0.23,0.31,9.6
1385,25715,0.17,0.13,9.9
1386,25731,0.19,0.25,9.41
1387,25748,0.19,0.25,9.92
1388,25768,0.17,0.34,9.58
1389,25785,0.27,0.33,9.45
1390,25801,0.19,0.27,9.67
1391,25817,0.19,0.5,9.62
1392,25834,-0.02,0.52,9.75
1393,25850,0.06,0.4,9.66
1394,25867,0.33,0.44,9.35
1395,25882,0.19,0.34,9.46
1396,25903,0.73,-2.82,2.61
1397,25919,-6.88,1.61,5.52
1398,25936,-4.85,0.67,10.42
1399,25956,-1.09,0.71,9.66
1400,25973,-0.08,0.86,10.04
1401,25989,0.75,0.61,9.22
1402,26005,4.67,1.13,7.11
1403,26026,1.11,0.63,10.58
1404,26042,-2.09,0.02,10.54
1405,26063,0.84,0.86,10.35
1406,26079,1.76,0.71,8.81
1407,26096,1.02,-0.02,8.81
1408,26112,0.13,-0.04,9.41
1409,26133,-0.77,0.04,10.19
1410,26149,1.3,0.44,9.1
1411,26166,-0.04,0.73,9.25
1412,26182,0.1,0.57,9.27
1413,26198,0.67,0.8,9.25
1414,26219,-0.1,0.27,10.0
1415,26235,0.31,0.46,9.87
1416,26252,0.17,0.33,9.54
1417,26267,0.08,0.31,9.6
1418,26284,0.46,0.33,9.33
1419,26300,0.17,0.34,9.62
1420,26316,0.17,0.57,9.04
1421,26333,0.33,0.38,9.6
1422,26349,0.04,0.52,9.83
1423,26370,0.15,0.5,9.62
1424,26386,0.15,0.33,9.64
1425,26403,0.54,0.21,9.92
1426,26419,0.02,0.52,9.45
1427,26436,0.15,0.33,9.6
1428,26452,0.15,0.44,9.89
1429,26468,0.13,0.46,9.71
1430,26485,0.19,0.42,9.92
1431,26501,0.27,0.38,9.6
1432,26518,0.17,0.36,9.5
1433,26534,0.19,0.44,9.77
1434,26551,0.23,0.46,9.45
1435,26567,0.13,0.61,9.14
1436,26583,0.4,0.25,9.69
1437,26600,0.19,0.4,9.6
1438,26616,0.21,0.56,9.39
1439,26636,0.17,0.54,9.31
1440,26652,0.19,0.42,9.27
1441,26669,0.11,0.36,9.92
1442,26685,0.33,0.48,9.48
1443,26702,0.15,0.33,9.69
1444,26718,0.21,0.46,9.73
1445,26734,0.29,0.57,9.69
1446,26751,0.1,0.46,9.85
1447,26767,0.25,0.5,9.6
1448,26784,0.15,0.5,9.69
1449,26800,0.11,0.67,9.79
1450,26817,0.11,0.86,9.66
1451,26833,0.19,0.61,9.43
1452,26849,0.17,0.75,9.37
1453,26866,0.34,0.61,9.66
1454,26882,0.19,0.29,9.85
1455,26903,0.23,0.44,9.5
1456,26919,0.52,0.25,9.23
1457,26936,0.27,0.31,9.43
1458,26952,0.02,0.86,9.43
1459,26968,0.08,0.69,9.69
1460,26985,0.25,0.54,9.54
1461,27000,0.25,0.5,9.48
1462,27017,0.11,0.59,9.43
1463,27033,0.25,0.48,9.83
1464,27050,0.33,0.34,9.46
1465,27066,0.36,0.33,9.2
1466,27083,0.23,0.31,9.37
1467,27099,0.19,0.34,9.87
1468,27115,0.34,0.42,9.66
1469,27132,0.15,0.54,9.46
1470,27148,0.29,0.42,9.64
1471,27169,0.4,0.38,10.08
1472,27185,0.36,0.5,9.85
1473,27202,0.23,0.63,9.73
1474,27218,0.21,0.8,9.39
1475,27234,0.23,0.52,9.58
1476,27251,0.36,0.44,9.27
1477,27267,0.33,0.52,9.52
1478,27284,0.19,0.38,9.73
1479,27300,0.1,0.48,9.79
1480,27317,0.34,0.38,9.56
1481,27333,0.19,0.5,9.58
1482,27349,0.29,0.59,9.66
1483,27370,0.42,0.57,9.43
1484,27385,0.17,0.59,9.6
1485,27402,0.21,0.56,9.9
1486,27418,0.38,0.63,9.69
1487,27435,0.17,0.5,9.54
1488,27451,0.21,0.65,9.92
1489,27467,0.33,0.63,9.23
1490,27484,0.15,0.48,9.83
1491,27500,0.15,0.59,9.54
1492,27517,0.08,0.71,9.5
1493,27533,0.1,0.52,9.87
1494,27550,0.15,0.42,9.64
1495,27566,0.02,0.48,9.48
1496,27582,0.4,0.34,9.81
1497,27599,0.19,0.86,9.45
1498,27615,0.17,0.52,9.45
1499,27636,0.11,0.59,9.64
1500,27652,0.52,0.48,9.41
1501,27669,0.21,0.54,9.5
1502,27685,0.27,0.48,9.71
1503,27702,0.21,0.56,9.52
1504,27718,0.23,0.46,9.56
1505,27734,0.15,0.54,9.43
1506,27750,0.15,0.5,10.04
1507,27766,0.21,0.57,9.56
1508,27783,0.21,0.48,9.85
1509,27799,0.25,0.71,9.46
1510,27816,0.25,0.69,9.25
1511,27836,0.25,0.48,9.43
1512,27853,0.17,0.57,9.66
1513,27869,0.42,0.63,9.56
1514,27885,0.21,0.44,9.52
1515,27902,0.21,0.52,9.29
1516,27918,0.27,0.57,9.85
1517,27935,0.21,0.48,9.6
1518,27951,0.23,0.31,9.83
1519,27968,0.15,0.65,9.54
1520,27984,0.17,0.59,9.27
1521,28000,0.04,0.52,9.83
1522,28017,0.17,0.52,9.54
1523,28037,0.15,0.44,10.13
1524,28054,0.31,0.46,9.12
1525,28070,0.23,0.5,9.46
1526,28087,0.15,0.52,9.22
1527,28103,0.19,0.54,9.79
1528,28119,0.11,0.52,9.5
1529,28135,0.19,0.52,9.31
1530,28151,0.29,0.57,9.75
1531,28168,0.19,0.79,9.35
1532,28184,0.33,0.5,9.81
1533,28201,0.25,0.48,9.56
1534,28217,0.08,0.46,10.04
1535,28238,0.15,0.52,9.75
1536,28254,0.17,0.44,9.5
1537,28270,0.25,0.59,9.43
1538,28287,0.25,0.46,9.85
1539,28303,0.29,0.57,9.27
1540,28320,0.19,0.65,9.52
1541,28336,0.21,0.61,9.58
1542,28353,0.19,0.57,9.89
1543,28369,0.08,0.5,9.6
1544,28385,0.27,0.54,9.37
1545,28402,0.19,0.56,9.87
1546,28418,0.34,0.46,9.81
1547,28435,0.19,0.59,9.5
1548,28451,0.29,0.61,9.69
1549,28468,0.23,0.71,9.66
1550,28484,0.33,0.69,9.29
1551,28503,0.23,0.54,9.52
1552,28520,0.02,0.46,9.66
1553,28536,0.1,0.44,9.73
1554,28553,0.19,0.59,9.25
1555,28569,0.19,0.5,9.66
1556,28586,0.19,0.44,9.64
1557,28602,0.21,0.56,9.9
1558,28619,0.19,0.56,9.62
1559,28635,0.02,0.67,9.89
1560,28651,0.13,0.57,9.41
1561,28668,0.23,0.5,9.56
1562,28684,0.19,0.61,9.0
1563,28701,0.11,0.52,9.69
1564,28717,0.27,0.54,9.56
1565,28734,0.1,0.57,9.66
1566,28750,0.21,0.63,9.04
1567,28770,0.23,0.88,9.83
1568,28787,0.19,0.59,9.2
1569,28803,0.33,0.65,9.39
1570,28820,0.27,0.54,9.62
1571,28836,0.17,0.54,9.5
1572,28853,0.02,0.57,9.35
1573,28869,0.36,0.52,9.71
